Category,Manufacturer,Model,Selection.Model,Usage.hours,Year,Age.at.the.sale,Year.of.Sale,Location.code.ISO,Price,Currency,Origine.Data,URL,Id,annonce_id,clean_model,scrap_id
telescopique,Manitou,1030 ST,MT 1030,1700,2012,4,2016,FR,30000,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/telescopique/11474290/manitou-1030-st.html,http://www.agriaffaires.com/occasion/telescopique/11474290/manitou-1030-st.html,66619,1030 ST,1320
chariot-telescopique,Manitou,1030 ST,MT 1030,3000,2012,3,2015,FR,37367,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/chariot-telescopique/5880806/manitou-1030-st.html,http://www.agriaffaires.com/occasion/chariot-telescopique/5880806/manitou-1030-st.html,80593,1030 ST,1320
telescopique,Manitou,1030 mt,MT 1030,3900,2005,11,2016,FR,19500,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/telescopique/7079341/manitou-1030-mt.html,http://www.agriaffaires.com/occasion/telescopique/7079341/manitou-1030-mt.html,66607,1030 mt,1317
,Manitou,1030s,MT 1030,,2007,10,2017,AM,27833,EUR,http://www.traktorpool.de,http://www.traktorpool.de/fr/details/Teleskoplader/Manitou-1030s/3260630/,http://www.traktorpool.de/fr/details/Teleskoplader/Manitou-1030s/3260630/,66539,1030s,1303
chariot-telescopique,Manitou,1030s,MT 1030,2700,2006,9,2015,FR,16065,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/chariot-telescopique/4826449/manitou-1030s.html,http://www.agriaffaires.com/occasion/chariot-telescopique/4826449/manitou-1030s.html,66585,1030s,1303
Telescopic Handlers,Manitou,1033,,5900,2003,12,2015,FR,19699,USD,http://www.mascus.com,http://www.mascus.com/construction/used-telescopic-handlers/manitou-1033/3s4mcl4t.html,http://www.mascus.com/construction/used-telescopic-handlers/manitou-1033/3s4mcl4t.html,74267,1033,1679
telescopique,Manitou,1033,,2354,2003,13,2016,FR,22000,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/telescopique/11010662/manitou-1033.html,http://www.agriaffaires.com/occasion/telescopique/11010662/manitou-1033.html,74689,1033,1679
telescopique,Manitou,1033 HL turbo,,3500,2002,15,2017,DE,18700,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/telescopique/15898669/manitou-1033-hl-turbo.html,http://www.agriaffaires.com/occasion/telescopique/15898669/manitou-1033-hl-turbo.html,96431,1033 HL turbo,2874
Other,Manitou,105 VJR,105VJR,911,2004,11,2015,FR,1816,USD,http://www.mascus.com,http://www.mascus.com/construction/used-construction-other/manitou-105-vjr/gr9u4mbf.html,http://www.mascus.com/construction/used-construction-other/manitou-105-vjr/gr9u4mbf.html,68653,105 VJR,1552
nacelle élévatrice-automotrice,Manitou,105 VJR,105VJR,580,2007,8,2015,FR,7200,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/5760158/manitou-105-vjr.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/5760158/manitou-105-vjr.html,81384,105 VJR,1552
